label,text
Trust,RT @user: #MengoniCheTempoCheFa Quanto sono gasata per il tour non avete idea https://t.co/3ddkm5emw2
Trust,@user @user Solidarietà a Report! Si deve parlare di tutto! Bisogna essere scomodi! Avanti così con il sostegno dei telespettatori che vi seguono da anni! 👍
Anger,@user Per soldi si rovinano intere famiglie ??? Che schifo
Sadness,Tanto già hanno deciso che deve vincere Ettore.... Io tifo Osvaldo....daje #BallandoConLeStelle
Sadness,"raga ma io mi sono messa a piangere, ho avuto un super flash back ai miei anni del liceo e al mio sentirmi diversa e giudicata #IlCollegio"
Anticipation,"Bho raga io mi espongo.. Il leone è yari, il figlio di albano #IlCantanteMascherato"
Surprise,"RT @user: Ma chi ha tradotto ""t fann mal e rin"" con ""ti fanno male i reni""? Qui mancano le BASI #LAmicaGeniale"
Joy,Finalmente una gioia in questa giornata ovvero @user e #pechinoexpress
Sadness,"Ditemi che siete ritornati bambini anche voi, vi prego! 🥺 A me mancano un sacco quegli anni ❤️ #ErmalMeta #Bugo #mimanca"
Neutral,"RT @user: #Salvini: Sono un uomo di parola, sui migranti, sulla legge Fornero: quando ho visto che i Cinque Stelle non mi faceva…"
Trust,"@user ...quando non c'era la tv! Stuepndo il libro, stupenda la fiction e le due protagoniste.#LAmicaGeniale"
Trust,Comunque Nino Serratore >>>>>> gli altri comodini della serie #LAmicaGeniale
Surprise,"RT @user: Lorenzo amava davvero più Giulio del suo stesso figlio, chissà perché #IMedici"
Anticipation,Vi aspetto stasera alle 21 a @user per raccontarvi le ultime novità sul coronavirus.
Trust,"RT @user: #MimmoLucano, la tua onestà da stasera per molti ha anche un volto pulito e vero, stanno cercando di fermare la tua idea…"
Anger,Questo paese è malato è tutto imbarazzante #sanremo2020
Trust,Io dico solo che servono più Uomini come Tiziano Ferro su questo pianeta #Sanremo2020
Anger,"Giornali nelle ultime ore: ""Chi è myss keta?"" Ridicoli. #Sanremo2020"
Anger,@user Ignoranza e cattolicesimo estremo.
Anger,#chilhavisto Marco è stato ucciso un'altra volta....che schifo!!!!
Trust,Pio e Amedeo numeri 1 #Sanremo2019
Neutral,"RT @user: NON MI AVETE FATTO NIENTE, NON MI AVETE TOLTO NIENTE, QUESTA È LA MIA VITA CHE VA AVANTI OLTRE TUTTO OLTRE LA GENTE #Me…"
Neutral,"RT @user: #Sanremo2019: sul target 15-24 è stata la finale più vista dagli ultimi 20 anni con il 65,3% share (+5,3 punti vs 2018…"
Anger,"RT @user: Arrogante? Pagliaccio? Falso? Str*nzetto? Scusate, con tutte queste voci nun ve sento proprioo!! Allora è proprio bravo s…"
Surprise,LORENZO MICHELANGELO?? #IMedici
Anger,Mastino Napoletano caricaturale ai limiti dell'offensivo. #IlCantanteMascherato
Fear,@user @user Noooo Leo non mi lasciare!! Non attraversare quella porta !! #LaPortaRossa2 #LaFineEsistePurtroppo
Neutral,"Arisa è il barboncino, ho cambiato idea. #IlCantanteMascherato"
Neutral,RT @user: Stasera non funzionava nulla perché dovevamo stare tutti incollati alla tv. E probabilmente anche perché tu non c'eri @user…
Neutral,Il Leone de Il cantante mascherato 2020 è Al Bano: tutti gli indizi -  #Leone #cantante #mascherato #Bano:  https://t.co/lYsu7SUZfj
Neutral,"RT @user: Nuova Zelanda, 2000. Orlando Bloom è Legolas ne ""il Signore degli anelli - la compagnia dell'anello"". #FotografieSegnanti #Lo…"
Anger,@user VAI CARO...VAI IN GALERA!!!!
Anger,Emanuela Aureli non è capace di fare zia Carmelita Barbara d’Urso #taleequaleshow
Anger,Avete trovato per caso degli individui onesti nelle liste della Lega ??? Fatecelo sapere.
Neutral,DAMMI LO ZUCCHINO! #PechinoExpress https://t.co/Ns6NKRwHBY
Trust,RT @user: #Ulisse mai come oggi emoziona e sconvolge. Grazie a Alberto Angela e a RaiUno. E un pensiero a Nedo Fiano che ogni anno a…
Joy,Pure il microfono della Carlucci è trash sto male #IlCantanteMascherato
Neutral,RT @user: L'esibizione finale del vincitore di #Sanremo2019 @user https://t.co/ouV7lVOWEk
Neutral,"Parla più forte, non ti sento. La Sciary e la vecchiaia che avanza #chilhavisto"
Surprise,Oddio mi spuntano un Francesco Centorame e un Favino così dal nulla #Sanremo2020 https://t.co/G7oOEk9nCw
Anger,@user Piuttosto che il Volo ripeschino Nino D'Angelo. Ho detto tutto. #Sanremo2019
Neutral,la pubblicità de i medici #UnPassoDalCielo5 https://t.co/pk6Cik55Nn
Neutral,"RT @user: ""Anche la Liguria dispone la chiusura di scuole e musei fino al 1 marzo. Si aggiunge a Piemonte, Lombardia, Veneto e Fri…"
Trust,RT @user: Io voglio bene a tutti giuro... ma quest’anno a #PechinoExpress per me ci sono solo le #Coliche. DAJE RAGÀ! 🙌🏼
Surprise,oh dio che tornerà a casa? ho visto un bagaglio. #ilcollegio
Anger,E dal grande Francesco Pezzulli che doppia Lorenzo ora abbiamo anche Stefano Crescentini e un colpo nello stomaco per gli amanti del doppiaggio! #IMedici
Trust,"Chi è quel genio che ha messo I Queen come traccia musicale su Versailles e #MariaAntonietta!?! Adoro, ti stimo profondamente!!! #Ulisse"
Joy,RT @user: Vedi che significa non vedere i porno? Poi non riconosci la Nappi e cadi nella #truffaromantica 😂 #chilhavisto
Sadness,Sono passati 3 minuti ma la mancanza di applausi e risate si sente già. Ho il cuore spezzato #CTCF
Neutral,Stefano a casa #LAmicaGeniale https://t.co/wmq4P93SyH
Neutral,Il mastino è alessandro greco #ilcantantemascherato
Fear,"I figli rischierebbero di assistere all'omicidio della madre o, nella migliore delle ipotesi, di ritrovarsi una madre traumatizzata e il padre in galera. #chilhavisto"
Joy,L’AMICO SUOOOOAOAHAHAAHAHHAAHHA #DonMatteo12
Neutral,"RT @user: Con tutta l’umiltà del mondo, visto che spetterà a voi giudicare, diverse persone che hanno assistito al confronto fra…"
Neutral,Citofonare a Martina e Claudia #ilcollegio
Joy,Fuori le #Mannequin 🎉🎉🎉 #PechinoExpress https://t.co/lujQJ75W4x
Neutral,"📍#Catania Qualcuno diceva che il Monastero dei Benedettini fosse una inespugnabile fortezza, altri una prigione dorata! #Meraviglie #Rai1 @user @user @user https://t.co/j7fm3AS0sU"
Neutral,RT @user: SFIDA tra: 🔸 @user e @user: CODICE 01 VS 🔸 @user e @user: CODICE 02 Televota i…
Love,"@user @user @user Sei Na strafiga pazzesca stasera, e quel colore di capelli il top."
Trust,RT @user: Tweet di apprezzamento per la vera protagonista di questa serie #IMedici https://t.co/hO6mDf3Gig
Anger,"Arthur lì in istituto. Arthur vai via, lo capisci ""vai via""? VIAAAAAAAAAAAAAAAAAAAA #LAllieva2"
Sadness,"@user Siamo un paese che si indigna se dei cantanti non vanno a fare un'intervista e non si indigna per questioni ben più gravi che ci affliggono, come corruzione, evasione e malapolitica! Ma dove vogliamo andare......"
Neutral,RT @user: Mia madre è americana. V’incazzate se l’anno prossimo vinco Sanremo? #sanremo2019
Neutral,Sotto l'abito di Lady Oscar si nasconde Milly Carlucci #ilcantantemascherato https://t.co/RprUaFhGg6
Surprise,RT @user: Non so come affrontare questa botta di contemporaneo #Sanremo2020
Sadness,Lenú comunque gli uomini non te li sai proprio sceglie #LAmicaGeniale
Surprise,Vabbè ma non è manco iniziato e vanno tutti di corsa #Sanremo2019
Trust,NO RAGA SCUSATE MI STAVO ADDORMENTATO POI HO SENTITO ERMAL META #Sanremo2020 https://t.co/QuE8XS2vNT
Trust,RT @user: Mamma Marina siamo tutti con voi #ChiLhaVisto https://t.co/8jxyvUql2y
Neutral,Botticelli dai #IMedici2
Sadness,"@user @user Non potete lasciarci senza senza raccontare la storia della grande Caterina, colei che fu il Giglio di Firenze e della Francia!!!!"
Trust,#MimmoLucano grazie di esistere!!
Anticipation,E dopo gli verràil cagotto#pechinoexpress
Joy,Nominano Il Cairo e io penso a @user 😂😂😂 #Ulisse
Neutral,Se fatto la pec poteva usare Aruba #chilhavisto
Neutral,"RT @user: #Salvini: Non ho portato risultati? Replico coi numeri e coi dati. Epoca Renzi 500mila sbarchi, epoca Salvini 28mila.…"
Trust,Ma che Alberto sia una delle meraviglie italiane è stato già detto? #Meraviglie
Trust,Vera Gemma sarà matta col botto ma che essere umano unico. #pechinoexpress
Neutral,RT @user: Sotto il cielo di questa reggia si è consumata la parabola di #MariaAntonietta. All’interno di questa stessa corte è nata…
Anticipation,Eccoci eccoci l'ansia saleeee #LaPortaRossa2 @user ❤️❤️
Neutral,"RT @user: ""Non l'ho capito a 8 anni e continuo ancora oggi a non capirlo a 88 anni"" #Ulisse #SamiModiano @user https://t.co/…"
Joy,@user @user Ahahahahahah che meraviglia me lo ricordo benissimo anch'io 😂😂😂
Anticipation,RT @user: HO L’ANSIA NON CE LA FACCIO PIÙ #LAllieva2 https://t.co/08D4uhqA06
Neutral,"RT @user: La Leotta fa un monologo, stacco su Malgioglio, stacco sulla nonna della Leotta, la Leotta parla alla nonna, la nonna è chi…"
Anticipation,"RT @user: Nella puntata di stasera di #Meraviglie, alle 21.25 su @user, partiremo dalle guglie del Duomo di #Milano. Faremo un v…"
Surprise,"#LAmicaGeniale con i sottotitoli, perché?"
Trust,Brava Arisa!! #IlCantanteMascherato #barboncino
Joy,@user Ovvio! 💅😂
Love,RT @user: 💖 “Farei tutto per voi” #LaPortaRossa2 https://t.co/SZdPdF98t5
Anger,"RT @user: 'sono stanca di sentirli piangersi addosso. se non ti piace ciò che vivi qua, ma con furbizia oppure allora vattene' NIC…"
Trust,"#chilhavisto se la bravissima Federica Sciarelli continua, ogni 5 minuti, a dire la parola ""preoccupazione"" ci viene l'ansia e cambiamo canale."
Neutral,"Negli scatti, ultimamente, molto più veloce Bugo di Pjanic #VeronaJuve #jvtblive"
Neutral,RT @user: “Mi chiamo Massimo Decimo Meridio… e avrò la mia vendetta. In questa vita o nell’altra.” #Ulisse #Rai1 @user @user…
Anger,"RT @user: LO SCHERZO, IL PETTINE, IL BUCHINO QUESTA COSA È ABERRANTEEEEE #chilhavisto"
Neutral,@user I soliti poteri forti. Comunque io @user la chiamerei comunque. Ps niente niente dice della violazione del silenzio elettorale del Capitan?
Fear,È arrivata la Rottermaier e noi rischiamo di dormire in strada... #pechinoexpress @user #enzomiccio
Neutral,#MichaelBublè e #MarcoMengoni sono gli ospiti di stasera a #CheTempoCheFa https://t.co/D1PmANboOe https://t.co/D1PmANboOe
Trust,"RT @user: Applausi non solo al cast ma anche al regista, agli sceneggiatori, ai tecnici, agli operatori, a tutti quelli che hanno…"
Trust,E ricordiamoglielo al mondo chi eravamo e che potremmo ritornare #DonMatteo12 https://t.co/GptkUsrdTp
Surprise,@user #LAllieva2 alla faccia della riscossa!!!!
Neutral,RT @user: Vi è piaciuta la performance di @user e @user? @user #GiuliaAntonelli Per loro codice 1⃣1⃣ #Ball…
Anger,@user un altro con 10 follower che pontifica!
Joy,Per mio padre @user sta con Eva Cesaroni #LAllieva2
Trust,RT @user: Raga applausone a Lino e Alessandra perché sono fin troppo bravi e non parlo solo per #LAllieva2 ma proprio in general…
Anticipation,RT @user: Finalmente @user a #chetempochefa con #Voglio e #BuonaVita 💣 #MengoniCheTempoCheFa https://t.co/Ru42z4696Q
Anticipation,"Stasera potrebbe esplodere un Vulcano, ma non sarà quello dai molti invocato. #SaveTheDate"
Surprise,"No dai, non lo hanno detto davvero"
Anger,"RT @user: Senti Vespucci, intanto ti calmi, e in secondo luogo lasci fare a Sandro la storia dell'arte, grazie #IMedici"
Sadness,#talequaleshow ma che “Cascione” che avete scavato! Ma come possiamo noi “giovani” fare il confronto con sta Silvie Vartan che non conosciamo manco per niente? Bah! A volte le vostre scelte non le riesco proprio a seguire!
Surprise,RT @user: Arthur e chi è quel bimbo?? #LAllieva2
Neutral,"RT @user: “Case, libri, auto, viaggi, fogli di giornale…” @user #sanremo2020 #sanremo70 #Rai1 https://t.co/4vP7q9Utr2"
Neutral,"RT @user: E prima di andare a dormire, un ultimo pensiero per Tarek Cuordileone #chilhavisto https://t.co/sa0cQyYrj1"
Neutral,"RT @user: «Ci sono testate dove lavorano centinaia di giornalisti collaboratori pagati 2, 4, 6, 9 euro ad articolo: ne scrivono anche…"
Neutral,La natura è il peggior nemico dell’uomo. 🌵 #pechinoexpress #WeddingPlanner @user @user https://t.co/Vcvh8sjFSp
Anger,"@user Adesso, ho potuto finalmente vedere in viso, chi inneggia al Vesuvio, nello stadio della Juve.....Ahahahah che miserabili!"
Neutral,"""Ma si legge wuaciancian si capisce"" Il cartello: #pechinoexpress https://t.co/yUFleoHDY3"
Surprise,Ma ci rendiamo conto di quello che stiamo guardando e che abbiamo guardato ? Questo festival non smette mai di darci soddisfazion 😂 #dietrofestival #CTCF
Sadness,"RT @user: ""Le parole hanno un peso, ma non lo ricordiamo . Ed è questo il dramma che si nasconde dietro i messaggi di bullismo.""…"
Neutral,Non si chiama gonfalone? #meraviglie
Trust,RT @user: @user #Bachi bravissimo con #Bianca!
Trust,@user Si si fai l’impossibile #LaPortaRossa2
Trust,Brava Anna Tatangelo!! Non si offende “ragazza di periferia”! #DomenicaIn
Anger,Cioè si lavava i capelli 1 volta al mese? E che c'aveva in testa! 😅#Ulisse
Neutral,"Miranda Martino è stata dimenticata per decenni. Fu Paolo Limiti a riportarla in tv e a farla esibire, spesso in gruppo con Gloria Christian (che, avendo avuto un tumore alle corde vocali, Limiti faceva cantare in playback con la voce di trent'anni prima). #domenicain"
Trust,"RT @user: comunque la giuria a me piace pure, nel senso che secondo me tutti tecnici sarebbero noiosi perché alla fine è un progr…"
Joy,Queste sono le vere gioie di #pechinoexpress! 😘 #Gladiatori @user @user https://t.co/p6SgAKRH42
Trust,RT @user: RAGA ACHILLE LAURO E ANNALISA HANNO CONQUISTATO LA SERATA DIREI DI CHIUDERE OGNI TELEVOTO PER STASERA #festivalsanremo…
Surprise,"Maurizio Costanzo, marito di Maria De Filippi, che partecipa a un programma di Milly Carlucci. Tipo che è più probabile che Meghan Markle si whatsappi con la Regina Elisabetta. #IlCantanteMascherato"
Joy,Enzo e le scimmie io sto morendo #pechinoexpress
Surprise,RT @user: Io sotto shock. Completamente sotto shock #UnPassoDalCielo5
Joy,@user 😂😂
Neutral,RT @user: ultimo: dice che stampa e siti lo davano per favorito e gliel'hanno tirata anche se lui si grattava e non è servito ser…
Love,Enzo impeccabile pure nel cuore della Tailandia lo amo #pechinoexpress
Anger,"@user @user @user @user @user @user @user @user @user @user @user L'eredità fa schifo, ogni sera io capisco chi Deve essere eliminato con domande difficilissime e Insinna è sempre più antipatico"
Neutral,"RT @user: ""Cento anni fa eravamo noi gli immigrati e ci definivano popolo brutto e sudicio, anche se adesso ce lo dimentichiamo"" @…"
Neutral,"@user @user Anch’io, ma non scelgo io"
Joy,Vi lascio col sosia di Ultimo a #taleequaleshow 😂 https://t.co/AUQjnZgngP
Anticipation,Speriamo che stasera vince realmente chi merita #taleequaleshow
Neutral,"RT @user: “Ogni tanto provi a lasciarsi andare, cinque minuti, innocui” #ilcollegio https://t.co/rBQDHVCyZ3"
Trust,Oggi saranno gli americani e i cinesi ad aspettare i sottotitoli.  #LAmicaGeniale
Trust,"""le donne perdevano i connotati femminili, venivano mangiate dai loro mariti, padri, fratelli""  Lenù la capisco..a volte arrendersi alle abitudini della società è facile ma ragionando si arriva a capire come stanno realmente le cose #LAmicaGeniale #amicageniale"
Surprise,@user Ed è solo il primo ??
Trust,Che metaviglia la lavanda nella passeggiata francese di Alberto Angela #ulisseilpiaceredellascoperta
Anger,"@user Quindi togliamo il televoto. Se facciamo votare e poi il voto non conta nulla, allora lo si fà solo per riempire le tasche degli sponsor #domenicain"
Neutral,RT @user: Morale della puntata di oggi: se non ti regalano la busta dei soldi per natale usa la catapulta e qualche parola gentil…
Love,"Valeria, piccolo cuoricino! 🥺 #UnPassoDalCielo5"
Neutral,Abbiamo un caso anche questo molto difficile #chilhavisto
Neutral,"""Tu c'eri da prima e sei molto più importante. Io ti voglio bene da quando eravamo bambini"" ?? #LAmicaGeniale https://t.co/X9CfORHEU1"
Neutral,"RT @user: ""Sei imprudente e ubriaco."" ?? ""Sei tu a rendermi così, per questo non potevo andare a Imola."" ?? Giuliano ha decisament…"
Anticipation,"RT @user: ??#LAmicaGeniale, @user e #Rai annunciano la seconda stagione??https://t.co/PVlLjaO9cV ""È un traguardo importante che…"
Anger,"@user @user Parlate della Juve, xché se no vi guarderebbero solo i vostri parenti. Siete scadenti! Ranucci 6 più coglione di chi ti fa lavorare in Rai! #rai spazzatura #report"
Surprise,A quindi niente Enzo? Okay i guess. #LAmicaGeniale https://t.co/P1zTgWXA3O
Sadness,RT @user: Chissà quante Lila e Lenù ci sono state nella storia. Quante/i hanno rinunciato a quello che volevano e potevano esser…
Fear,"RT @user: ""Io non ho conosciuto tutto questo, come gran parte di voi. Ma c’è sempre il rischio che i volti bui della Storia riappaian…"
Trust,La cura del verde in Toscana è maniacale al limite della follia  #Meraviglie
Trust,GRANDISSIME!!!! ✌😁✌ @user @user tifate dalla prima puntata! Questo è avere #GirlPower 🥇🏆 #pechinoexpress #LeSignoreDellaTV https://t.co/80JXkl1Ngu
Neutral,RT @user: “La memoria è il miglior antidoto contro gli abissi della storia.” #Ulisse #Rai1 @user @user @user ht…
Anger,“Con i soldi e bello” C H I U D E T E L E L A B O C C A #IlCollegio
Neutral,RT @user: Sto lasciando l'Italia per motivi di sicurezza #DomenicaIn #Sanremo2019 https://t.co/BHxJGkkFS4
Neutral,@user @user Poi ve ne è una terza dove ammette possibilità euroexit su Italia oggi ma dice che costa troppo
Neutral,“Un viaggio che mi è piaciuto molto” cit Fausto Leali #ilcantantemascherato @user https://t.co/BE6M1PFb1g
Anger,RT @user: #BallandoConLeStelle lo sdilinquimento di Mariotto per Lasse è un tantinello fastidioso. . No?? 😶
Trust,Applauso alla fotografia grazie #lamicageniale https://t.co/yqzJAXyeyn
Anticipation,"RT @user: Esercito, il comandante vi chiama a rapporto! Vi aspettiamo questa sera a #CheTempoCheFa dalle 20.35 su @user con @user…"
Love,@user @user @user Fantastica Carolyn ti amiamo 😀💕
Love,RT @user: RAMBELLI MON AMOUR @user #ChièJonas #laportarossa2 #laportarossa
Joy,@user Fantastico✨✨
Anger,"RT @user: Sanremo è rappresentativo di una cultura sessista, che delle donne veicola un'immagine stantia e irrispettosa. #SAnREMOFuori…"
Anger,RT @user: Oddio i coglioni sardi del Psd’Az con la Lega. Sento il terribile rivoltarsi del povero Lussu nel sepolcro insieme ad al…
Neutral,"RT @user: #LAllieva2 finisce così, in corsa in un fiume di emozioni! Cosa vi ha appassionato di più questa sera? 👇👇👇 https://t.co/M6C…"
Anticipation,RT @user: Stasera canteremo per voi la nostra canzone Musica Che Resta! Il televoto sarà attivo solo DURANTE LA NOSTRA ESIBIZIONE.…
Neutral,"La Lanterna di Genova, le cui prime notizie risalgono al 1100 circa: l'epoca delle crociate.  #AlbertoAngela #Meraviglie #angelers https://t.co/sQwCWTj2Y4"
Anger,RT @user: 43 PUNTI PER FRANCESCO MONTE MA STIAMO SCHERZANDO MA VOI SIETE SCEMI #taleequaleshow
Neutral,RT @user: Avete mai sentito parlare delle pietre d’inciampo? Sono dei preziosi alleati per non dimenticare. #Ulisse. https://t.c…
Sadness,"RT @user: “Ci accorgiamo di quanto teniamo veramente alle cose, solo quando le abbiamo perse, o rischiamo di perderle, sprechiamo il temp…"
Neutral,RT @user: “Lei ha dato 20 miliardi in 3 anni a poche centinaia di migliaia di pensionati; quella che lei ha definito “la stronza…
Surprise,@user Ah sì? Io sono molto ignorante però non lo avevo mai sentito nominare dai miei compagni che seguono il genere idk
Joy,ENZO MICCIO INDEMONIATO MI SENTO MALE #pechinoexpress https://t.co/cSVlPe05rx
Trust,La voce di Pannofino dà sempre un valore aggiunto a tutto #Meraviglie
Neutral,"RT @user: Questa è la cartina con lo Stato più ""googlato"" nei vari Paesi mondiali ""Potremmo vivere solo di turismo"" Cit. That's it F…"
Surprise,Ha detto “cribbio” ! #TaleEQualeShow
Anger,"E si, perché il più grande problema dell'Italia è il ragazzetto che si fa la canna. #portaaporta #RenziSalvini"
Joy,Il barboncino è un fan di Glee. Confermato. #IlCantanteMascherato
Neutral,"“Guarda come sono ridotto, meglio che non mi guardo, sembro zio Arduino”  Zio Arduino da casa: #pechinoexpress https://t.co/m0PTlpp5TH"
Joy,Sto ridendo come il cretino all’1:31 del giorno della finale di Sanremo. L’anno scorso ero NERO per quello che stava per succedere e che poi fortunatamente non è accaduto!#Sanremo2020
Fear,Silvestri che ansia #Sanremo2019
Neutral,"RT @user: #Ulisse fake news, haters, influencer non sono concetti così moderni.... #MariaAntonietta @user"
Anger,RT @user: Nino Formicola chiede la barzelletta a Cristicchi? Davvero fuori luogo. #domenicain
Love,RT @user: @user @user Grandi emozioni ❤️ #MengoniSanremo2019
Surprise,Quindi adesso Leonardi non si fa vedere fino alla fine? #BallandoConLeStelle
Trust,"@user pazzeschi indeed, tutto merito di king Alberto, me lo sento."
Trust,L’hanno lasciato lì? Ahahhahaha SOLEIL TIFO PER TE  #pechinoexpress
Trust,@user @user Hai detto bene... 👏🏻👏🏻👏🏻 Farebbero bene a stare zitti visto che non capiscono una beata minchia!!!
Anger,L'assistente sociale ha la stessa funzione di un bidone della monnezza pieno. #chilhavisto #chilhavisters #teamdivano
