label,text
Anger,"America:In primo luogo nessuno può giustificare la violenza di alcuni poliziotti sulle PERSONE.Poi su questo si innesta la tragicommedia italica,dove allibiti si vedono i fantocci del sistema in ginocchio(non solo virtualmente)davanti…A cosa?Non lo sanno! Devono solo strisciare!"
Sadness,"Ora non posso più stare in silenzio, ho appena visto il video di Leslie Furcon, donna uccisa da un colpo di proiettile sulla fronte. perché? Perché? Perché non si può vivere in una società senza discriminazioni? Perché si giudica sempre e comunque dal colore della pelle--"
Anger,la quantità di donne vittime di femminicidio e stupro cresce esponenzialmente ogni anno e voi siete lì a preoccuparvi per un cazzo di maschio bianco etero che frigna perché gli hanno fatto notare che è un maschio bianco etero ma allora ci siete nati così imbecilli
Love,A mio parere un bambino ha bisogno di cure di affetto e di tanto amore quindi purché i bambini vengano dati in adozione a genitori che fanno parte del LGBT o meno basti che ci siano queste principali cose... levati hai fatto una figura di merda.. ricordati l’amore è UNIVERSALE❤️
Sadness,"Adesso mettetevi nei panni di un povero padre che prima vede morire la figlia per scappare da uno #stupro, poi vede ammazzarla nuovamente da una #giustizia malata! Io credo che cercherei la MIA giustizia... #martinarossi"
Sadness,Una bambina viene uccisa a botte dalla famiglia per cui lavorava solo per aver fatto fuggire due pappagalli. Stasera vado a letto pensando che forse prima di scrivere “che schifo la mia vita” ci devo pensare bene e devo pensare a quanto sono in verità fortunata.
Anger,Tw: stupro Ricordarsi di parlare di violenza sessuale solo quando la si può usare come carta jolly per vincere i dibattiti e sostenere le vostre tesi non è femminismo La strumentalizzazione dell'abuso altrui è disgustoso E questa è una mancanza di rispetto per le vittime. Basta.
Love,Bellissima dimostrazione di amore filiale ❤️❤️
Neutral,Dopo quanti mi piace alle foto è considerabile stalking?
Neutral,Una differenza culturale ed etnica non giustifica mai la violenza sessuale o maltrattamenti via
Anger,tw‼️ stupro per piacere andiamo tutte a segnalare questo microcefalo perché non ce la faccio più a sentire queste
Anger,"Arrestano questo ragazzo per cosa? Non è stato violento, non ha fatto che parlare di uguaglianza e amore e loro che fanno? Lo arrestano, non per violenza, non per mancanza di rispetto, ma per il crimine di essere nero e non bianco come loro. Fatevi schifo"
Sadness,"No alla violenza sulle donne, no alla violenza in generale, no al bullismo, ecc, e poi è lo stato il primo ad applicarlo quando inizi a infastidire i loro interessi."
Anger,Io non so chi ha tirato fuori sta storia sul body shaming ma io vi dico che l'unico modo per capire qualcuno è passare la stessa merda di questa gente altrimenti sparerete solo minchiate di cui non sapete un cazzo buonanotte fanciullini
Joy,Stalking al luogo dove due decenni fa sono stato davvero felice. ❤️🤪😂🍭🍂😁🤩😎 https://t.co/0sI1O3Xpqp
Neutral,Avete le mascherine 1522?
Anger,"coloro che dicono che il razzismo, la misoginia ed il patriarcato in italia non esiste, ci sono mai stati in italia? siamo sicuri che non stiano parlando di un luogo immaginario?"
Love,Che bella sorpresa Lou fece a questa fan che aveva il fratellino malato!! CHE AMORE CHE E'!  Manco nei sogni a me succedono queste cose https://t.co/h84rpaorRL
Neutral,"''con la violenza non si risolve niente'' beh non voglio giustificare nessuno, ma non credo che oggi si festeggerebbero 25 aprile e 2 giugno se i partigiani al tempo avessero solamente marciato per le vie delle città con striscioni e bandiere"
Sadness,grazie nonna per il body shaming🥰🥰
Sadness,Per anni dopo il mio abuso sessuale credevo che il sesso e l’intimita con una persona fosse esattamente come fossi stato trattato. Come carne da macello e oggetto. Solo ora ho la consapevolezza di quanto l’abuso mi abbia influenzato.
Sadness,"Ci sono così tante ragazze che stanno scrivendo l’età che avevano ad ogni abuso sessuale, tantissime mutuals presenti anche e mi sta venendo da piangere. Mi dispiace, io vi sono vicino, se avete bisogno di parlare potete scrivermi e avete tutta la mia stima. Siete forti."
Fear,"Con dati così alti sulle molestie e la violenza sessuale che subiscono le donne con disabilità, la segregazione scolastica attuata in Italia in cui lo studente disabile viene messo tutto il giorno in un'aula della scuola con un assistente e nessun controllo mi provoca disagio"
Joy,"ORFANI DI FEMMINICIDIO, ARRIVANO I FONDI DALLO STATO. SODDISFAZIONE DI ASSOCIAZIONE “ANNAROSA UNA DI NOI” E COORDINAMENTO CODICE ROSSO https://t.co/VRKMSEj78y"
Love,AMORE CHE BELLEZZA 😍😍😍😍😍😭💓
Love,Io ancora sogno la mia storia di amore folle con un motociclista mezzo criminale come Step  #3msc https://t.co/fDFnmPQtsI
Anger,Il bodyshaming fa schifo. Ma fa ancora più schifo se a farlo è una mamma nei confronti di una ragazza che potrebbe esserle figlia. #TPWK
Love,"@SciroccatoS Mai, Mai violenza sulle Donne!!!!"
Anger,Questo è quello che marito di mia madre ha detto quando mi ha fatto body shaming e io ovviamente mi sono incazzata
Anger,"è un mondo in cui non ci sarà mai giustizia per le donne un mondo pervaso dalla misoginia, in cui chi vuole stuprare una donna costringendola alla morte, pur di evitare una tale violenza, viene assolto e visto come “innocente” non ci sono parole, solo tanta frustrazione e rabbia."
Joy,"Dopo decine e decine di segnalazioni, almeno una piccola soddisfazione. Finalmente - almeno temporaneamente - bloccato l'account fake che fa stalking contro @francescatotolo. https://t.co/TroHxvQ1Zj"
Surprise,Comunque io figlia di misoginia interiorizzata quando mi sono SORPRESA che emrata fosse intelligente oltre che bellissima
Sadness,Quando mi trattano male i personaggi con anche una violenza psicologica NON SI FA Mi si contorce il cuoricino
Anger,"Come vi viene in mente di andare a scrivere nei dm a una ragazza che ha avuto il coraggio di parlare del suo stupro ""non pensi che non ti sarebbe successo se ti fossi coperta un po' di più?"". COME CAZZO VI VIENE IN MENTE. Tra tutte le cose che potresti volerle dire piuttosto."
Sadness,"mi son sentita dire che che se mi metto la gonna cerco lo stupro perchè sto provocando ľ """"""uomo"""""" in questione... dovrei cambiare modo di vestire o bisogna cambiare il modo di ragionare di sta gente di merda che afferma tali stronzate? #girlpower #coronavirus #femminismo"
Sadness,"I #social ci hanno fatto scoprire che esiste ancora la #discriminazione che sia di #genere o di #razza. Tutti siamo fratelli e sorelle nel combattere ogni di discriminazione, ma poi nel momento della verità tutti noi diventano ipocriti. #omofobia #razzismo"
Sadness,"il fatto che lady diana fosse stata uccisa dalla famiglia reale era ovvio. è impossibile credere alla storia dell'incidente. lei era veramente un angelo in mezzo allo schifo della famiglia reale, costantemente degradata e messa da parte. lei voleva solo una famiglia felice."
Love,"Trovate qualcuno che vi ami come Enzo ama bonnie. Un amore non malato, ma un amore che viene dal profondo della sua anima, per quanto dannata essa possa essere. #TheVampireDiaries"
Love,"Perché ora il Papa Emerito si mette storto contro Papa Francesco?! Gesù fu il primo rivoluzionario sul nostro pianeta. Non c’erano differenze di alcun genere è discriminazione tra gli esseri umani, a favore delle donne. Quanta ipocrisia vige ora!"
Anger,"la misoginia è la forma di oppressione più radicalizzata che esista. anche la più infima cazzata è misogina e alimenta il patriarcato ma proprio perché è andata così a fondo da toccare le più infime cazzate, appunto, vi rifiutate di smantellarla o anche solo di vedere la realtà"
Anger,"E questo è per te, e tutte quelle come te, che condannano ogni tipo di violenza sulle donne, ma poi vomitano il loro giudizio cretino..come se per avere una vita piena e felice, debba ricondursi alla presenza o meno di un uomo...e voi sareste quelle intelligenti?"
Anger,Zohra Shah aveva 8 anni e stata uccisa di botte dalla famiglia benestante x Cui LAVORAVA (8 anni aveva) per aver liberato 2 pappag. Dove sono i giornaloni prog.politici inginocchiati VERGOGNATEVI riposa in cielo piccolo 😇
Joy,Bella iniziativa🙂
Joy,NOI SIAMO STUPENDE! Per il 2021 e contro il body shaming ecco le “calendar girls” italiane https://t.co/dgoCJwaZ8v
Anger,"ma questa ha mai sentito anche solo nominare la misoginia interiorizzata?? e che non è colpa delle donne se la subiscono, anzi sono ancora più vittime di tutto ciò."
Anger,madonna che rotture che sieteeeeee gli insulti sono insulti per tutti e il bodyshaming è una merda ma se non riconoscete l’esistenza del ‘thin privilege’ vuol dire che avete i prosciutti davanti agli occhi
Love,"Così parlano i buoni, quelli che seminano amore e non odio e praticano la non violenza."
Joy,"@Geggetrailibri @angryzenzy Solo i figli?! Ma dai!! Certo, come no, e la luna è più luminosa del sole!! 🤣🤣 E' una GIOIA e NON un peso crescere i propri figli. Ti qualifichi già dalla tua ultima frase. Una vera sofferenza è non poterli vedere per FALSE accuse(90%)di stalking, violenza domestica e pedofilia"
Joy,io e fortuna abbiamo spillato il tea per due ore sul razzismo sulla misoginia sul maltrattamento degli animali su quanto faccia schifo il mondo in generale meno male che ho lei con cui parlare di queste cose segni di terra power
Anger,"Covid19, Sovranismo, violenza, discriminazione, crisi economica, ma qualcuno dietro una tastiera ti dice che tu non sei “in piazza “ e disquisisce mezz’ora di proletariato e sottoproletariato. “Semo rivoluzionari raga e voi non siete niente” #5giugno"
Neutral,"La lotta contro il bodyshaming è una cosa, promuovere l’obesità è un’altra"
Sadness,"La stupidità dello stalking al quale vengo sottoposto è da compatire come si compatisce un poverino, un minorato, un demente.Le minacce di morte perdono di consistenza se ripetute più volte.Onestamente rimango basito da cotanta idiozia."
Neutral,"domanda seria, leggo spesso ""gli uomini palestrati non mi piacciono, meglio con un po' di pancia"" secondo voi è bodyshaming?"
Anger,Sì lo dico MEN ARE TRASH perché il fatto che il primo pensiero che avete quando si parla di violenza sulle donne sia quello di ribadire che anche gli uomini ne soffrono come se questa società non fosse stata costruita per opprimere le donne è proprio il motivo per cui siete trash
Love,Jacques Prévert Questo amore  Questo amore Così violento Così fragile Così tenero Così disperato Questo amore Bello come il giorno E cattivo come il tempo Quando il tempo è cattivo Questo amore così vero Questo amore così bello Così felice Così gaio E così beffardo
Sadness,C'è anche del body shaming Perché lei è ciccionissima e lui sta al PC a guardare le donne nude ☹️ Vergoniah
Sadness,"Ho letto ora la vicenda di #martinarossi e sono scioccata. Questa ragazza per sfuggire ad uno stupro si è gettata dal balcone, morendo. La giustizia italiana fallisce un’ennesima volta poiché “il fatto non sussiste “, il tentato stupro non sussiste. Che vergogna"
Love,amore mio il mondo no ti merita
Fear,"I suggerimenti di amicizia su Facebook, frutto delle mie intense sessione di stalking, mi stanno mettendo ansia."
Joy,"Scrivici, sarei felice di ospitarti @DettoFattoRai2 #DettoFattoRai"
Anger,"stupro di gruppo, possesso di materiale pedopornografico, almeno 13 reati per violenza sessuale, tutto da uno che soggiogava minorenni in una setta satanica spacciandosi per il diavolo Stato italiano: diamogli gli arresti domiciliari 🥰"
Love,"La Camera ha approvato un primo fondo da 4 milioni di euro per le vittime di omotransfobia. I soldi serviranno a creare e sostenere centri antiviolenza, oltre a supporto legale e psicologico per le vittime. Un nuovo passo in avanti verso la civiltà. Bene così 🌈"
Anger,"non augurate la morte a trump e poi fate bodyshaming, insulti abilisti e augurate la morte per minchiate"
Anger,"Ci sono donne che diventano torce umane e individui che hanno il coraggio di sminuire il femminicidio, riducendolo ad un semplice ""anche gli uomini subiscono violenze"". Ed è così che le leggi non cambiano e la polizia non interviene in tempo! #leiene"
Anger,La cosa che principalmente mi da noia è che questo polverone per le questioni di violenza domestica (sia femminile che maschile) e sulla pedopornografia non è stata fatta
Love,"Ai bambini serve solo amore, ai bambini serve vedere due genitori che si amano e non dove la mamma è sottomessa o peggio ancora vittima di violenza, ai bambini servono meno ignoranti come te che cercano di fare sciacallaggio su ogni cosa."
Love,La religione di pace e amore  !!!
Joy,"- ma è riuscita a coronare il suo sogno di essere proclamata dottoressa, in un commovente risarcimento postumo, alla sua memoria ma anche, in qualche modo, a quella di tutte le 53 donne vittime di femminicidio nel 2020. -"
Love,Buon ponte Amore😢❤️
Joy,"@LucaBilla @Specialcla Dopo mesi di convivenza forzata 24h/24h, stamattina grandi sorrisi! 😍 La mia fortuna è vivere in un comune da 3500 anime e l'evento è abbastanza soft. Speriamo rimanga tale anche il proseguio!"
Neutral,"far girare video e foto di una persona col cazzo da fuori contro il suo volere è bodyshaming ora onestamente di trump me ne frego, sono uscite cose peggiori su di lui e non è nemmeno da considerare “persona” ma si parlava in generale"
Love,"#clario ,le critiche le riceve da chi ha mandato giustamente a cagare dopo anni di stalking senza fare propaganda di goccine e servizi in tv, penso abbia tutto il diritto di farlo, c è un limite a tutto, certo il karma colpisce chi fa del.male, mario non ne ha fatto a nessuno🤗"
Love,"☁️ come violento sui monti       scuote le querce il vento,       così Amore ha travolto       l’anima mia, la ragione.  -Come violento sui monti (Saffo) https://t.co/0CGg5BQ7uY"
Neutral,Curiosa storia giapponese di stalking al contrario.
Sadness,"Comunque più passa il tempo più mi rendo conto che in Italia la gente è cresciuta a pane e misoginia/omofobia/razzismo, impressionante."
Anger,marito di una donna uccisa padre di un figlio assassinato in questa vita o nell altra avrò la mia vendetta📽massimo
Anger,voi: t3rf radfem: guarda che sono degli slur misogini usati per silenziare le rad e minacciarle di stupro voi: t3rf di merda sempre voi: uwu im a FEMINIST
Joy,🌟 Passo 7 per riportare le tue relazioni in tuo potere: Parlati con amore! Come mostrare empatia verso i tuoi errori? Individua il linguaggio violento che utilizzi per incolpare te stesso e cancellalo dal tuo vocabolario! Scopri di più qui: https://t.co/y08ZJ688XT #coaching https://t.co/hBjVyl5OJg
Joy,Il coraggio delle idee bellissima....
Sadness,"Sapete qual è il problema? Appena una donna nomina ""misoginia"" o ""maschilismo"" oppure ""patriarcato"" esponendo le proprie idee o il proprio vissuto viene subito additata come nazifemminista. Da chi? Principalmente da uomini, e tristemente pure da donne. &gt;"
Sadness,Che meraviglia studiare con un padre che fa violenza psicologica a mia madre ogni cazzo di giorno e mia madre che piange di là. Pensate che bella arietta amici.
Neutral,"Facile decontestualizzare i concetti tacciando la gente di misoginia, senza nessun tipo di argomentazione a proprio supporto. Sulle questioni morali nessuno ha la verità, ci sono solo opinioni, discutibili e criticabili. Argomentate pacatamente, senza essere dogmatici. #Crepladi"
Love,"Serve +cultura del bello,+istruzione,+scuola,+amore e soprattutto + famiglia FELICE di crescere un figlio! La violenza è una forma distruttiva di comunicazione che si utilizza quando mancano le  ""parole"". La forza fisica,così usata,è come dire:""IO ESISTO"" https://t.co/QxDJISAl2f"
Love,Il mio unico e grande amore #NonSaraiMaiSolo #ForzaNapoliSempre
Love,"Odio etichettare il mio orientamento sessuale. Insomma l’amore è amore, niente di più e niente di meno. Io amo il sentimento in se, come mi fa sentire una persona e non il suo aspetto. Non so se esiste un etichetta pure per questo ma sinceramente non mi serve saperlo.  Io amo."
Surprise,Dunque.. Per la giustizia italiana il tentato femminicidio non è reato perché non sussiste il fatto. Devo dedurre quando dalla vicenda di #MartinaRossi?
Sadness,Candace e' stata minacciata di morte e di stupro. I democratici sono uguali in tutto il mondo.
Anger,"La violenza che é esplosa negli #USA non é che il prodotto di una violenza istituzionale assai meno appariscente. La morte di #GeorgeFloyd é stata la goccia che ha fatto traboccare il vaso, un vaso da tempo strapieno. Questa #rabbia se la sono voluta loro"
Neutral,"Non ci sono prove certe che ci sia stato un tentativo di stupro. La vicenda è oscura, dolorosa e crudele ma mettere in galera quei due senza prove sicure non sarebbe certo giustizia. #martinarossi"
Joy,Per Ciro e MariaPaola.   La lotta é amore e noi non smetteremo mai di lottare.   #chaynitalia #violenceagainstwomen #inretenonseisola #genderbasedviolence #omotransfobia #violenzadigenere #femminicidio https://t.co/3qUjfwuUMu
Anger,"🛑Donna incinta all’ottavo mese, uccisa e appesa a un albero, orrore in Sudafrica 🛑Dal 2017 al 2018 sono state uccise 2.930 donne, dato che equivale a un omicidio ogni tre ore. SCHIFOSI 📌 PALADINI DEI DIRITTI UMANI DOVE SIETE❓❓ #JusticeForTshego"
Joy,"Grazie mille per la vostra partecipazione alla videoconferenza, che ho tenuto sul tema ""Amore e Stalking al tempo dei Social"", attraverso il mio libro ""Il corteggiatore perfetto"". Inizio dal settimo minuto in poi. #cittàdisanbenedettodeltronto #stalking"
Love,"Non ti conosco, spero tu abbia avuto la forza di denunciarlo e mandarlo via da te. Ti abbraccio forte! Ce la farai a riprenderti! Forza e mai più con uomini che non sanno cosa sia l'amore! Faccina che manda un bacioCuore rosso"
Surprise,ma dr*kesmad non era la stessa che faceva continuamente tweet perché riceveva bodyshaming sul suo curiouscat? e ora fa lo stesso su un’altra ragazza facendola a sentire a disagio perché le taglie di alcuni negozi non le vanno? e c’è davvero gente che ancora le dà corda?
Sadness,Sono stanca di mio padre e mio fratello che mi fanno bodyshaming davvero raga non ce la faccio più che poi loro magari manco ci fanno caso ma io mi butto giù in una manoera pazzesca e sono stanca
Love,"Cara Maria Laura, vorrei poterti abbracciare. Sei stata una donna piena di amore e fede, per me un grande esempio. Presto festeggeremo la tua beatificazione! ☀️☀️☀️"
Anger,"Apprendo ora che per raccontare di essere stata violentata/abusata sessualmente c'è una data di scadenza oltre la quale se parli lo fai per cercare attenzioni. Avrei così tanto da dire, da raccontare e da insultare che se lo facessi sarei bannata dalla vita reale seduta stante."
Sadness,"Comunque se volete abbattere la statua di Indro Montanelli ma non fate un cazzo per fermare il turismo sessuale italiano (siamo campioni del mondo) dei bravi padri di famiglia che vanno in Thailandia a scoparsi le bambine - ecco, restiamo un po' sullo stesso punto."
Anger,"Programma squallido, oggettificazione del corpo femminile, body shaming, continue prese in giro, conduzione di Paolo Bonolis e Luca Laurenti. Ma ha anche dei difetti. #ciaodarwin"
Surprise,"raga aspettate fermate tutto, alessio e emanuele su instagram ci spiegano perché la discriminazione di genere non esiste o comunque se esiste È GIUSTO CHE SIA COSÌ! combattiamo da anni per avere diritti che già abbiamo, che cretine 🤦🏼‍♀️"
